churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,subscription_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,usage_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count_x,is_beta_feature,usage_duration_min_x,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score_x,escalation_flag,ticket_month,ticket_count,ticket_bucket,satisfaction_score_y,satisfaction_bucket,usage_duration_min_y,usage_bucket,error_count_y,error_bucket
C-816288,A-c37cab,2024-10-27,pricing,4.03,False,False,False,switched to competitor,S-f4a4c8,2024-10-05,2024-12-13,Enterprise,98,19502,234024,False,True,False,True,monthly,True,U-daf622,2023-10-29,feature_19,9,2133,0,True,35.55,T-c01944,2024-03-28,2024-03-29 18:00:00,42.0,medium,146,3.0,False,2024-03,4,Elevated,3.75,Satisfied,35.55,inconsistent,0,No Errors
C-816288,A-c37cab,2024-10-27,pricing,4.03,False,False,False,switched to competitor,S-f4a4c8,2024-10-05,2024-12-13,Enterprise,98,19502,234024,False,True,False,True,monthly,True,U-daf622,2023-10-29,feature_19,9,2133,0,True,35.55,T-276a05,2023-10-17,2023-10-19 14:00:00,62.0,high,144,3.0,True,2023-10,4,Elevated,3.75,Satisfied,35.55,inconsistent,0,No Errors
C-816288,A-c37cab,2024-10-27,pricing,4.03,False,False,False,switched to competitor,S-f4a4c8,2024-10-05,2024-12-13,Enterprise,98,19502,234024,False,True,False,True,monthly,True,U-daf622,2023-10-29,feature_19,9,2133,0,True,35.55,T-0b025f,2024-02-15,2024-02-16 03:00:00,27.0,high,87,5.0,False,2024-02,4,Elevated,3.75,Satisfied,35.55,inconsistent,0,No Errors
C-816288,A-c37cab,2024-10-27,pricing,4.03,False,False,False,switched to competitor,S-f4a4c8,2024-10-05,2024-12-13,Enterprise,98,19502,234024,False,True,False,True,monthly,True,U-daf622,2023-10-29,feature_19,9,2133,0,True,35.55,T-7cab7d,2024-01-15,2024-01-15 01:00:00,1.0,low,28,4.0,False,2024-01,4,Elevated,3.75,Satisfied,35.55,inconsistent,0,No Errors
C-accb39,A-1e50e0,2023-11-01,budget,54.94,False,False,False,switched to competitor,S-de543d,2023-04-25,2024-01-13,Enterprise,19,0,0,True,False,False,True,annual,True,U-6d7d29,2023-10-23,feature_18,9,5130,0,False,85.5,T-7b7a5a,2024-10-02,2024-10-02 19:00:00,19.0,high,170,5.0,True,2024-10,2,Stable,2.5,Neutral,85.5,dependency stress,0,No Errors
C-accb39,A-1e50e0,2023-11-01,budget,54.94,False,False,False,switched to competitor,S-de543d,2023-04-25,2024-01-13,Enterprise,19,0,0,True,False,False,True,annual,True,U-6d7d29,2023-10-23,feature_18,9,5130,0,False,85.5,T-113483,2024-10-29,2024-10-29 22:00:00,22.0,urgent,116,0.0,False,2024-10,2,Stable,2.5,Neutral,85.5,dependency stress,0,No Errors
C-92f889,A-956988,2024-12-30,unknown,0.0,False,True,True,too expensive,S-79ab7e,2024-12-13,2024-12-22,Enterprise,72,0,0,True,False,False,True,monthly,False,U-5ae73f,2023-11-30,feature_38,14,4872,3,True,81.2,T-387b29,2024-04-20,2024-04-21 20:00:00,44.0,low,83,0.0,False,2024-04,2,Stable,1.5,Unhappy,81.2,dependency stress,6,Medium Errors
C-92f889,A-956988,2024-12-30,unknown,0.0,False,True,True,too expensive,S-79ab7e,2024-12-13,2024-12-22,Enterprise,72,0,0,True,False,False,True,monthly,False,U-5ae73f,2023-11-30,feature_38,14,4872,3,True,81.2,T-f01315,2024-11-22,2024-11-24 09:00:00,57.0,urgent,153,3.0,False,2024-11,2,Stable,1.5,Unhappy,81.2,dependency stress,6,Medium Errors
C-2e2966,A-526d93,2024-07-10,features,34.4,True,False,False,none,S-c2a14b,2024-11-08,2024-11-10,Enterprise,43,8557,102684,False,False,False,True,annual,False,U-bf7da4,2023-01-07,feature_21,9,2322,0,False,38.7,T-b9e7df,2023-05-10,2023-05-10 05:00:00,5.0,medium,158,0.0,False,2023-05,5,High Risk,1.4,Unhappy,38.7,inconsistent,0,No Errors
C-2e2966,A-526d93,2024-07-10,features,34.4,True,False,False,none,S-c2a14b,2024-11-08,2024-11-10,Enterprise,43,8557,102684,False,False,False,True,annual,False,U-bf7da4,2023-01-07,feature_21,9,2322,0,False,38.7,T-e3d7af,2024-11-13,2024-11-15 06:00:00,54.0,low,157,0.0,False,2024-11,5,High Risk,1.4,Unhappy,38.7,inconsistent,0,No Errors
C-2e2966,A-526d93,2024-07-10,features,34.4,True,False,False,none,S-c2a14b,2024-11-08,2024-11-10,Enterprise,43,8557,102684,False,False,False,True,annual,False,U-bf7da4,2023-01-07,feature_21,9,2322,0,False,38.7,T-f660fd,2024-02-21,2024-02-23 15:00:00,63.0,urgent,161,0.0,False,2024-02,5,High Risk,1.4,Unhappy,38.7,inconsistent,0,No Errors
C-2e2966,A-526d93,2024-07-10,features,34.4,True,False,False,none,S-c2a14b,2024-11-08,2024-11-10,Enterprise,43,8557,102684,False,False,False,True,annual,False,U-bf7da4,2023-01-07,feature_21,9,2322,0,False,38.7,T-2422ea,2024-04-14,2024-04-16 15:00:00,63.0,high,49,4.0,False,2024-04,5,High Risk,1.4,Unhappy,38.7,inconsistent,0,No Errors
C-2e2966,A-526d93,2024-07-10,features,34.4,True,False,False,none,S-c2a14b,2024-11-08,2024-11-10,Enterprise,43,8557,102684,False,False,False,True,annual,False,U-bf7da4,2023-01-07,feature_21,9,2322,0,False,38.7,T-fbe6c4,2023-10-26,2023-10-29 00:00:00,72.0,high,148,3.0,True,2023-10,5,High Risk,1.4,Unhappy,38.7,inconsistent,0,No Errors
C-e6a0f0,A-ccabf0,2024-10-31,features,0.0,False,False,False,too expensive,S-d449e1,2024-10-15,2024-11-06,Basic,25,0,0,True,False,False,True,annual,True,U-b22092,2024-03-07,feature_24,10,5960,0,False,99.33333333333333,T-546223,2023-01-04,2023-01-06 13:00:00,61.0,high,46,4.0,False,2023-01,4,Elevated,2.75,Neutral,99.33333333333333,dependency stress,0,No Errors
C-e6a0f0,A-ccabf0,2024-10-31,features,0.0,False,False,False,too expensive,S-d449e1,2024-10-15,2024-11-06,Basic,25,0,0,True,False,False,True,annual,True,U-b22092,2024-03-07,feature_24,10,5960,0,False,99.33333333333333,T-69e92c,2023-09-27,2023-09-28 22:00:00,46.0,medium,114,3.0,False,2023-09,4,Elevated,2.75,Neutral,99.33333333333333,dependency stress,0,No Errors
