account_id,ticket_count,ticket_bucket,satisfaction_score,satisfaction_bucket,usage_duration_min,usage_bucket,error_count,error_bucket
A-016043,3,Elevated,1.3333333333333333,Unhappy,74.93333333333334,engaged,15,High Errors
A-019782,2,Stable,1.5,Unhappy,13.25,disengaged,0,No Errors
A-029f69,2,Stable,1.5,Unhappy,17.2,disengaged,0,No Errors
A-02cd81,3,Elevated,3.0,Neutral,41.61666666666667,stable usage,0,No Errors
A-0354fe,4,Elevated,2.0,Unhappy,52.666666666666664,stable usage,0,No Errors
A-054577,1,Stable,4.0,Satisfied,53.666666666666664,stable usage,0,No Errors
A-05d3b3,6,High Risk,2.1666666666666665,Neutral,21.466666666666665,disengaged,0,No Errors
A-0651a4,4,Elevated,2.0,Unhappy,44.0,stable usage,4,Low Errors
A-068fc6,5,High Risk,2.6,Neutral,118.75,dependency stress,0,No Errors
A-089363,3,Elevated,3.6666666666666665,Satisfied,70.53333333333333,engaged,3,Low Errors
A-09540c,2,Stable,4.5,Very Satisfied,3.1666666666666665,disengaged,0,No Errors
A-098560,2,Stable,3.0,Neutral,52.38333333333333,stable usage,4,Low Errors
A-0a282f,3,Elevated,4.666666666666667,Very Satisfied,21.0,disengaged,0,No Errors
A-0aaf6e,5,High Risk,1.6,Unhappy,4.8,disengaged,10,Medium Errors
A-0b0d6d,5,High Risk,1.6,Unhappy,7.466666666666667,disengaged,0,No Errors
A-0baac2,6,High Risk,2.1666666666666665,Neutral,8.05,disengaged,6,Medium Errors
A-0be015,7,Critical,3.0,Neutral,35.06666666666667,inconsistent,0,No Errors
A-0cc442,3,Elevated,1.0,Extremely Unhappy,89.8,dependency stress,0,No Errors
A-0e966d,3,Elevated,3.0,Neutral,89.93333333333334,dependency stress,9,Medium Errors
A-0f3e88,3,Elevated,3.0,Neutral,64.86666666666666,engaged,6,Medium Errors
A-0f7d77,5,High Risk,2.0,Unhappy,72.26666666666667,engaged,0,No Errors
A-104f1a,5,High Risk,3.0,Neutral,20.066666666666666,disengaged,0,No Errors
A-10b8da,3,Elevated,2.3333333333333335,Neutral,49.6,stable usage,0,No Errors
A-117171,6,High Risk,1.8333333333333333,Unhappy,60.86666666666667,engaged,0,No Errors
