account_id,churn_probability,churn_probability_percent,top_reasons,risk_level,explanation
A-118f1c,0.017145170498555802,1.7%,"customer was acquired organically, a cohort associated with higher retention; Ticket elevated; minimal support requests (1 tickets)",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; Ticket elevated; minimal support requests (1 tickets)."
A-e7a1e2,0.6584390507115462,65.8%,"long-term satisfaction is moderate; average session duration is strong (55.55 min); customer was acquired via event-based channels, which historically show higher churn volatility",Medium Risk,"Predicted churn risk is 65.8%. Key drivers include: long-term satisfaction is moderate; average session duration is strong (55.55 min); customer was acquired via event-based channels, which historically show higher churn volatility."
A-eb1312,0.015691171398245184,1.6%,Referral source other; minimal support requests (1 tickets); Seats,Low Risk,Predicted churn risk is 1.6%. Key drivers include: Referral source other; minimal support requests (1 tickets); Seats.
A-cab532,0.017855580067623052,1.8%,"Referral source other; customer was acquired through partner channels, where churn depends on integration quality; customer is currently in the trial phase, a stage characterized by high churn variability",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: Referral source other; customer was acquired through partner channels, where churn depends on integration quality; customer is currently in the trial phase, a stage characterized by high churn variability."
A-ccb686,0.015759466090772552,1.6%,"customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-432483,0.017496333277930928,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; Country us; Ticket high risk",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; Country us; Ticket high risk."
A-5b051a,0.017568828540643344,1.8%,"customer was acquired organically, a cohort associated with higher retention; minimal support requests (1 tickets); customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: customer was acquired organically, a cohort associated with higher retention; minimal support requests (1 tickets); customer was acquired via event-based channels, which historically show higher churn volatility."
A-8ae05d,0.01565744854189268,1.6%,"customer was acquired through partner channels, where churn depends on integration quality; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; Ticket stable",Low Risk,"Predicted churn risk is 1.6%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; Ticket stable."
A-054577,0.016839580412560506,1.7%,"customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Country uk",Low Risk,"Predicted churn risk is 1.7%. Key drivers include: customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention; Country uk."
A-7f29a7,0.0176409048789633,1.8%,"Ticket elevated; minimal support requests (1 tickets); customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.8%. Key drivers include: Ticket elevated; minimal support requests (1 tickets); customer was acquired via event-based channels, which historically show higher churn volatility."
