account_id,ticket_count_x,ticket_bucket_x,usage_avg_min,usage_bucket_x,error_sum,error_bucket_x,satisfaction_avg,satisfaction_bucket_x,churn_date_x,reason_code_x,feedback_text_x,last12_ticket_count,last12_usage_avg_min,last12_error_sum,last12_satisfaction_avg,last12_ticket_bucket,last12_usage_bucket,last12_error_bucket,last12_satisfaction_bucket,churn_flag_x,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_y,Unnamed: 0,churn_event_id,churn_date_y,reason_code_y,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text_y,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,usage_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count_x,is_beta_feature,usage_duration_min_x,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score_x,escalation_flag,ticket_month,ticket_count_y,ticket_bucket_y,satisfaction_score_y,satisfaction_bucket_y,usage_duration_min_y,usage_bucket_y,error_count_y,error_bucket_y,ticket_month_int,churn_month_int,months_before_churn,error_count,usage_duration_min,satisfaction_score,reference_date,reference_month_int,months_before_reference
A-432483,1,Stable,28.65,inconsistent,0,No Errors,0.0,Extremely Unhappy,,,,0.0,0.0,0.0,0.0,No Recent Activity,No Recent Activity,No Recent Activity,No Recent Activity,1,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,155,,,,,,,,,S-2e017b,2023-04-02,2023-04-05,Pro,5,245,2940,False,False,False,True,annual,True,U-198824,2023-06-14,feature_35,9,1719,,False,,T-57f1af,2024-09-20,2024-09-22 03:00:00,51.0,urgent,128,,False,,,,,,,,,,656,,,0.0,28.65,0.0,2024-12-31,659.0,-3.0
A-7f29a7,1,Stable,41.6,stable usage,0,No Errors,4.0,Satisfied,2024-10-09,unknown,switched to competitor,1.0,41.6,0.0,4.0,Stable,stable usage,No Errors,Satisfied,1,Company_386,Cybersecurity,UK,2024-09-18,event,Basic,41,True,False,169,,,,,,,,,S-bdc6b7,2024-12-02,2024-12-25,Enterprise,41,8159,97908,False,False,False,True,monthly,False,U-f60512,2024-03-21,feature_2,12,2496,,False,,T-e44461,2024-07-08,2024-07-09 00:00:00,24.0,urgent,5,,False,,,,,,,,,,654,,,0.0,41.6,4.0,2024-12-31,659.0,-5.0
A-df1e44,2,Stable,27.866666666666667,inconsistent,2,Low Errors,2.5,Neutral,2024-11-20,budget,missing features,0.0,0.0,0.0,0.0,No Recent Activity,No Recent Activity,No Recent Activity,No Recent Activity,1,Company_323,Cybersecurity,UK,2024-02-23,organic,Enterprise,12,False,False,282,,,,,,,,,S-6a0399,2024-09-08,2024-12-15,Enterprise,12,2388,28656,False,False,True,True,monthly,True,U-0df052,2023-08-07,feature_15,11,1672,,False,,T-3118d4,2024-11-22,2024-11-24 20:00:00,68.0,high,128,,False,,,,,,,,,,658,,,1.0,27.866666666666667,0.0,2024-12-31,659.0,-1.0
A-1e50e0,2,Stable,85.5,dependency stress,0,No Errors,2.5,Neutral,2023-11-01,budget,switched to competitor,0.0,0.0,0.0,0.0,No Recent Activity,No Recent Activity,No Recent Activity,No Recent Activity,1,Company_415,Cybersecurity,DE,2023-02-21,other,Pro,19,True,True,198,,,,,,,,,S-de543d,2023-04-25,2024-01-13,Enterprise,19,0,0,True,False,False,True,annual,True,U-6d7d29,2023-10-23,feature_18,9,5130,,False,,T-7b7a5a,2024-10-02,2024-10-02 19:00:00,19.0,high,170,,True,,,,,,,,,,657,,,0.0,85.5,5.0,2024-12-31,659.0,-2.0
A-1e50e0,2,Stable,85.5,dependency stress,0,No Errors,2.5,Neutral,2023-11-01,budget,switched to competitor,0.0,0.0,0.0,0.0,No Recent Activity,No Recent Activity,No Recent Activity,No Recent Activity,1,Company_415,Cybersecurity,DE,2023-02-21,other,Pro,19,True,True,199,,,,,,,,,S-de543d,2023-04-25,2024-01-13,Enterprise,19,0,0,True,False,False,True,annual,True,U-6d7d29,2023-10-23,feature_18,9,5130,,False,,T-113483,2024-10-29,2024-10-29 22:00:00,22.0,urgent,116,,False,,,,,,,,,,657,,,0.0,85.5,0.0,2024-12-31,659.0,-2.0
A-1f0636,2,Stable,76.48333333333333,engaged,0,No Errors,3.5,Satisfied,,,,0.0,0.0,0.0,0.0,No Recent Activity,No Recent Activity,No Recent Activity,No Recent Activity,1,Company_368,EdTech,AU,2024-01-01,partner,Pro,105,False,False,172,,,,,,,,,S-2fe253,2024-02-28,2024-10-30,Pro,105,0,0,True,False,False,True,annual,True,U-796100,2024-09-16,feature_2,13,4589,,False,,T-c2f40f,2024-08-22,2024-08-22 17:00:00,17.0,high,68,,False,,,,,,,,,,655,,,0.0,76.48333333333333,3.0,2024-12-31,659.0,-4.0
A-2922b6,2,Stable,22.4,disengaged,0,No Errors,2.0,Unhappy,2024-12-25,competitor,missing features,2.0,22.4,0.0,2.0,Stable,disengaged,No Errors,Unhappy,1,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,307,,,,,,,,,S-5d5a8d,2024-12-17,2024-12-28,Pro,15,735,8820,False,False,False,True,annual,True,U-4ccaa4,2023-04-24,feature_22,6,1344,,False,,T-60706c,2024-10-02,2024-10-03 03:00:00,27.0,urgent,136,,False,,,,,,,,,,657,,,0.0,22.4,0.0,2024-12-31,659.0,-2.0
A-2922b6,2,Stable,22.4,disengaged,0,No Errors,2.0,Unhappy,2024-12-25,competitor,missing features,2.0,22.4,0.0,2.0,Stable,disengaged,No Errors,Unhappy,1,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,308,,,,,,,,,S-5d5a8d,2024-12-17,2024-12-28,Pro,15,735,8820,False,False,False,True,annual,True,U-4ccaa4,2023-04-24,feature_22,6,1344,,False,,T-34c636,2024-11-13,2024-11-13 04:00:00,4.0,high,70,,False,,,,,,,,,,658,,,0.0,22.4,4.0,2024-12-31,659.0,-1.0
A-bf7919,2,Stable,81.06666666666666,dependency stress,0,No Errors,2.5,Neutral,2024-12-06,support,none,2.0,81.06666666666666,0.0,0.0,Stable,dependency stress,No Errors,Extremely Unhappy,1,Company_426,HealthTech,US,2024-11-27,organic,Pro,3,False,False,246,,,,,,,,,S-9a44ec,2024-12-21,2024-12-29,Pro,15,735,8820,False,False,False,True,annual,True,U-70bd43,2023-06-17,feature_9,16,4864,,True,,T-c8d035,2024-10-29,2024-10-29 12:00:00,12.0,high,53,,False,,,,,,,,,,657,,,0.0,81.06666666666666,0.0,2024-12-31,659.0,-2.0
A-d77f4c,2,Stable,65.33333333333333,engaged,4,Low Errors,4.0,Satisfied,2024-10-03,unknown,none,3.0,65.33333333333333,6.0,3.0,Elevated,engaged,Medium Errors,Neutral,1,Company_470,DevTools,US,2023-09-25,partner,Pro,4,True,False,320,,,,,,,,,S-5bc71c,2023-10-24,2024-02-19,Basic,8,152,1824,False,False,False,True,monthly,True,U-60ef2b,2024-04-09,feature_40,10,3920,,False,,T-7e7eb8,2024-06-30,2024-07-02 06:00:00,54.0,low,68,,False,,,,,,,,,,653,,,2.0,65.33333333333333,3.0,2024-12-31,659.0,-6.0
