,subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,usage_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,usage_duration_min,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag,reference_date,reference_month_int,ticket_month_int,months_before_reference
1,S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,False,False,False,True,monthly,True,U-ee0af2,2024-06-21,feature_32,15,8670,1,True,144.5,T-af5765,2024-03-09,2024-03-09 19:00:00,19.0,low,44,3.0,False,2024-12-31,659,650,-9
24,S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,False,False,False,True,monthly,True,U-fb39d7,2023-06-24,feature_11,11,3333,2,False,55.55,T-4b2bf5,2024-03-31,2024-04-01 21:00:00,45.0,low,37,4.0,False,2024-12-31,659,650,-9
31,S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,U-00cf4a,2024-02-24,feature_31,12,672,0,False,11.2,T-59d67b,2024-03-21,2024-03-23 00:00:00,48.0,urgent,17,3.0,False,2024-12-31,659,650,-9
34,S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,U-00cf4a,2024-02-24,feature_31,12,672,0,False,11.2,T-d035ff,2024-03-13,2024-03-15 06:00:00,54.0,urgent,22,0.0,False,2024-12-31,659,650,-9
35,S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,U-00cf4a,2024-02-24,feature_31,12,672,0,False,11.2,T-ead922,2024-06-03,2024-06-03 06:00:00,6.0,urgent,16,5.0,False,2024-12-31,659,653,-6
36,S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,U-00cf4a,2024-02-24,feature_31,12,672,0,False,11.2,T-762c9d,2024-05-11,2024-05-12 07:00:00,31.0,high,118,0.0,False,2024-12-31,659,652,-7
39,S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,U-00cf4a,2024-02-24,feature_31,12,672,0,False,11.2,T-7eaf4c,2024-01-12,2024-01-13 10:00:00,34.0,low,63,3.0,False,2024-12-31,659,648,-11
122,S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,U-dbc2c2,2023-02-25,feature_23,17,5950,0,False,99.16666666666667,T-e4b581,2024-11-02,2024-11-02 16:00:00,16.0,low,11,4.0,True,2024-12-31,659,658,-1
124,S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,U-dbc2c2,2023-02-25,feature_23,17,5950,0,False,99.16666666666667,T-f09f22,2024-10-27,2024-10-29 14:00:00,62.0,urgent,54,5.0,False,2024-12-31,659,657,-2
125,S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,U-dbc2c2,2023-02-25,feature_23,17,5950,0,False,99.16666666666667,T-0d73d3,2024-03-11,2024-03-13 11:00:00,59.0,low,143,0.0,False,2024-12-31,659,650,-9
141,S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,U-db36b3,2023-09-25,feature_23,13,1716,0,False,28.6,T-9876fb,2024-01-18,2024-01-18 14:00:00,14.0,high,92,0.0,False,2024-12-31,659,648,-11
142,S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,U-db36b3,2023-09-25,feature_23,13,1716,0,False,28.6,T-9f2d91,2024-09-20,2024-09-20 18:00:00,18.0,low,110,0.0,False,2024-12-31,659,656,-3
144,S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,U-db36b3,2023-09-25,feature_23,13,1716,0,False,28.6,T-42efc2,2024-01-08,2024-01-08 23:00:00,23.0,high,159,0.0,False,2024-12-31,659,648,-11
161,S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,U-6c6a41,2023-07-04,feature_37,9,1755,0,False,29.25,T-cddf95,2024-01-09,2024-01-11 22:00:00,70.0,medium,40,3.0,False,2024-12-31,659,648,-11
162,S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,U-6c6a41,2023-07-04,feature_37,9,1755,0,False,29.25,T-bd44ab,2023-12-19,2023-12-21 08:00:00,56.0,medium,59,5.0,False,2024-12-31,659,647,-12
179,S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,U-5d8c25,2024-04-15,feature_2,9,2079,1,False,34.65,T-eed292,2024-03-29,2024-03-29 18:00:00,18.0,low,100,0.0,False,2024-12-31,659,650,-9
181,S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,U-5d8c25,2024-04-15,feature_2,9,2079,1,False,34.65,T-86a1f6,2024-01-20,2024-01-21 11:00:00,35.0,high,162,4.0,False,2024-12-31,659,648,-11
197,S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,U-8142f6,2024-04-27,feature_1,11,264,0,False,4.4,T-accc3f,2024-01-20,2024-01-21 12:00:00,36.0,urgent,55,4.0,False,2024-12-31,659,648,-11
198,S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,U-8142f6,2024-04-27,feature_1,11,264,0,False,4.4,T-34deb3,2024-05-16,2024-05-18 02:00:00,50.0,high,150,0.0,False,2024-12-31,659,652,-7
199,S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,U-8142f6,2024-04-27,feature_1,11,264,0,False,4.4,T-ca5ab4,2024-09-24,2024-09-25 15:00:00,39.0,urgent,98,5.0,False,2024-12-31,659,656,-3
250,S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,U-010479,2023-02-01,feature_33,14,532,0,False,8.866666666666667,T-f7d63c,2024-10-29,2024-10-30 20:00:00,44.0,urgent,4,4.0,False,2024-12-31,659,657,-2
252,S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,U-010479,2023-02-01,feature_33,14,532,0,False,8.866666666666667,T-b57da5,2024-06-22,2024-06-22 03:00:00,3.0,urgent,107,0.0,False,2024-12-31,659,653,-6
255,S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,U-010479,2023-02-01,feature_33,14,532,0,False,8.866666666666667,T-8b2aa1,2024-03-18,2024-03-19 13:00:00,37.0,medium,118,0.0,False,2024-12-31,659,650,-9
256,S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,U-010479,2023-02-01,feature_33,14,532,0,False,8.866666666666667,T-d1168e,2024-04-09,2024-04-11 03:00:00,51.0,urgent,103,5.0,False,2024-12-31,659,651,-8
290,S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,U-f6576a,2024-12-20,feature_12,6,1260,0,False,21.0,T-ded4a8,2024-05-03,2024-05-05 00:00:00,48.0,urgent,35,5.0,False,2024-12-31,659,652,-7
291,S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,U-f6576a,2024-12-20,feature_12,6,1260,0,False,21.0,T-fa9585,2024-10-26,2024-10-26 18:00:00,18.0,medium,144,4.0,False,2024-12-31,659,657,-2
