account_id,churn_probability,churn_probability_percent,risk_drivers,retention_protectors,risk_level,explanation
A-118f1c,0.017145170498555802,1.7%,"minimal support requests (1 tickets); Ticket elevated; customer was acquired organically, a cohort associated with higher retention",average session duration is strong (93.80 min); long-term satisfaction is moderate; Referral source other,Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: minimal support requests (1 tickets); Ticket elevated; customer was acquired organically, a cohort associated with higher retention. Retention signals: average session duration is strong (93.80 min); long-term satisfaction is moderate; Referral source other."
A-e7a1e2,0.6584390507115462,65.8%,"customer was acquired via event-based channels, which historically show higher churn volatility; average session duration is strong (55.55 min); long-term satisfaction is moderate","Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is currently in the trial phase, a stage characterized by high churn variability",Medium Risk,"Predicted churn risk is 65.8%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; average session duration is strong (55.55 min); long-term satisfaction is moderate. Retention signals: Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is currently in the trial phase, a stage characterized by high churn variability."
A-eb1312,0.015691171398245184,1.6%,Seats; minimal support requests (1 tickets); Referral source other,"customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is strong; average session duration is moderate (5.07 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; minimal support requests (1 tickets); Referral source other. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is strong; average session duration is moderate (5.07 min)."
A-cab532,0.017855580067623052,1.8%,"customer is currently in the trial phase, a stage characterized by high churn variability; customer was acquired through partner channels, where churn depends on integration quality; Referral source other","customer was acquired via event-based channels, which historically show higher churn volatility; customer was acquired organically, a cohort associated with higher retention; minimal support requests (1 tickets)",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; customer was acquired through partner channels, where churn depends on integration quality; Referral source other. Retention signals: customer was acquired via event-based channels, which historically show higher churn volatility; customer was acquired organically, a cohort associated with higher retention; minimal support requests (1 tickets)."
A-ccb686,0.015759466090772552,1.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention",average session duration is strong (17.60 min); Referral source other; long-term satisfaction is moderate,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired organically, a cohort associated with higher retention. Retention signals: average session duration is strong (17.60 min); Referral source other; long-term satisfaction is moderate."
A-432483,0.017496333277930928,1.7%,"Ticket high risk; Country us; customer was acquired through partner channels, where churn depends on integration quality","Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: Ticket high risk; Country us; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility."
A-5b051a,0.017568828540643344,1.8%,"customer was acquired via event-based channels, which historically show higher churn volatility; minimal support requests (1 tickets); customer was acquired organically, a cohort associated with higher retention",Seats; average session duration is strong (82.35 min); long-term satisfaction is moderate,Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; minimal support requests (1 tickets); customer was acquired organically, a cohort associated with higher retention. Retention signals: Seats; average session duration is strong (82.35 min); long-term satisfaction is moderate."
A-8ae05d,0.01565744854189268,1.6%,"Ticket stable; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer was acquired through partner channels, where churn depends on integration quality","Seats; customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Ticket stable; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is moderate."
A-054577,0.016839580412560506,1.7%,"Country uk; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality","Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: Country uk; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility."
A-7f29a7,0.0176409048789633,1.8%,"customer was acquired via event-based channels, which historically show higher churn volatility; minimal support requests (1 tickets); Ticket elevated",Seats; average session duration is strong (41.60 min); recent satisfaction appears stable,Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; minimal support requests (1 tickets); Ticket elevated. Retention signals: Seats; average session duration is strong (41.60 min); recent satisfaction appears stable."
